ItiEuropeen	route	longueur	prD	depPrD	concessionPrD	absD	xD	yD	zD	prF	depPrF	concessionPrF	absF	xF	yF	zF
E25	A0035	15522	300	67	N	0	1049024,84	6843772,13	0	316	67	N	361	1041022,44	6834782,75	0
E25	A0035	36428	411	67	N	0	1037634,28	6832336,67	0	446	67	N	1000	1026992,98	6800887,01	0
E25	A0035	67503	0	68	N	0	1026992,98	6800887,01	0	126	68	N	303	1042852,26	6729329,49	0
E54	A0035	25522	100	68	N	750	1030034,79	6750834,76	0	126	68	N	303	1042852,26	6729329,49	0
E60	A0035	25522	100	68	N	750	1030034,79	6750834,76	0	126	68	N	303	1042852,26	6729329,49	0
E54	A0036	10750	100	68	N	0	1020260,62	6747212,03	0	110	68	N	750	1029717,04	6751530,94	0
E60	A0036	10750	100	68	N	0	1020260,62	6747212,03	0	110	68	N	750	1029717,04	6751530,94	0
E512	A0036	5580	100	68	N	0	1020260,62	6747212,03	0	105	68	N	580	1024990,37	6749980,63	0
E54	A0036	19830	0	68	C	0	1020249,04	6747227	0	19	68	C	830	1001879,64	6741081,1	0
E60	A0036	19830	0	68	C	0	1020249,04	6747227	0	19	68	C	830	1001879,64	6741081,1	0
E54	A0036	13380	19	68	C	830	1001879,64	6741081,1	0	33	90	C	210	991318,88	6733390,08	0
E60	A0036	23900	19	68	C	830	1001879,64	6741081,1	0	43	90	C	730	990522,17	6723723,63	0
E27	A0036	3963	35	90	C	722	989748,79	6731499,78	0	39	90	C	685	989694,18	6727598,41	0
E60	A0036	100530	43	90	C	730	990522,17	6723723,63	0	144	25	C	260	910176,82	6680722,02	0
E60	A0036	490	144	25	C	260	910176,82	6680722,02	0	144	25	C	750	909673,69	6680732,34	0
E60	A0036	540	144	25	C	750	909673,69	6680732,34	0	145	25	C	290	909087,54	6680651,74	0
E60	A0036	28330	145	25	C	290	909087,54	6680651,74	0	173	39	C	620	882972,19	6672688,76	0
E60	A0036	8840	173	39	C	620	882972,19	6672688,76	0	182	21	C	460	876896,87	6666678,48	0
E60	A0036	1110	182	21	C	460	876896,87	6666678,48	0	183	39	C	570	876002,69	6665958,4	0
E60	A0036	33330	183	39	C	570	876002,69	6665958,4	0	216	21	C	900	844566,42	6663385,15	0
E25	A0040	55298	0	74	C	0	987561,33	6541224,86	0	55	74	C	298	948959,74	6569746,21	0
E712	A0040	10953	44	74	C	345	957091,14	6563337,96	0	55	74	C	298	948959,74	6569746,21	0
E21	A0040	41102	55	74	C	298	948959,74	6569746,21	0	96	74	C	400	917760,85	6559881,33	0
E62	A0040	29050	67	74	C	350	939342,49	6564010,14	0	96	74	C	400	917760,85	6559881,33	0
E21	A0040	6448	96	74	C	400	917760,85	6559881,33	0	102	1	C	848	915315,38	6565086,75	0
E62	A0040	6448	96	74	C	400	917760,85	6559881,33	0	102	1	C	848	915315,38	6565086,75	0
E21	A0040	101312	102	1	C	848	915315,38	6565086,75	0	204	1	C	160	842498,78	6583744,38	0
